Id,Predicted
0,2453.123224431818
1,2386.653645833333
2,3184.8270089285716
3,2092.644751082251
4,2501.1743551587306
5,2775.600926782348
6,1961.107278138528
7,3717.8404017857138
8,3681.953125
9,3778.645833333333
10,2001.1979166666667
11,2470.1562499999995
12,3147.9668898809527
13,2747.267654220779
14,2583.5695684523807
15,2796.9937375992067
16,2083.3876149891776
17,2994.034598214286
18,2284.926525297619
19,2485.6231398809523
20,1839.4791666666672
21,2746.6927083333335
22,2321.796875
23,2757.578125
24,2789.147135416667
25,1830.1546435335497
26,2191.484375
27,2942.044270833333
28,2412.157384715979
29,3667.260044642858
30,2529.0587797619046
31,3207.503720238096
32,2163.5041542658732
33,1890.68359375
34,2008.5457164363415
35,2060.836236246393
36,1488.0859375
37,2412.157384715979
38,2479.5647321428573
39,2456.5476190476193
40,2195.3125
41,2075.7421875
42,2508.821348845808
43,3377.4324156746034
44,1910.0874255952378
45,3329.127604166667
46,2133.463541666667
47,2365.1488095238096
48,2116.223958333334
49,1876.5606398809523
50,2003.9304315476193
51,2745.5504037290366
52,2575.5729166666665
53,1933.0338541666667
54,1907.421875
55,3391.8957995129863
56,2883.381076388889
57,3206.116848454855
58,2012.0200892857138
59,2726.808035714286
60,2380.6547619047615
61,2282.2867909000724
62,2720.8723958333335
63,2386.6766588446276
64,2617.5508432539677
65,3404.7754138551772
66,2624.191468253968
67,2341.0442595598847
68,2312.4590773809527
69,2663.126222735598
70,1931.040736607143
71,2297.4704917478357
72,2197.6818141425456
73,2575.53478422619
74,2916.981026785714
75,2932.3624487491684
76,1975.98267719821
77,2034.3171932234434
78,2867.9036458333335
79,2310.8203125
80,2378.561595548039
81,3101.7392113095234
82,2937.5657242063494
83,1997.0833333333335
84,2405.0
85,2653.9403521825398
86,2323.4542410714294
87,3355.972842261905
88,2210.798062614469
89,2491.767113095238
90,3144.529254382769
91,2725.902545932418
92,2732.8255208333335
93,2035.2188740079364
94,3335.636160714286
95,2382.406684027778
96,2000.9787890061325
97,2153.6715367965367
98,2983.4375000000005
99,2297.109375
100,3255.6846625596622
101,2423.268849206349
102,2770.9505208333326
103,2846.248759920635
104,2002.9129464285709
105,4753.6225818452385
106,1629.6223958333335
107,2017.5130208333335
108,2715.013020833333
109,2443.901140092546
110,1941.1992412968975
111,2380.940641772443
112,3645.6903014520203
113,2585.210672573953
114,1922.5195312500002
115,2160.2083333333335
116,2119.420826569264
117,2808.0140280726214
118,2302.6940679705895
119,2117.046811440194
120,2931.5863715277774
121,2868.7369791666665
122,3054.8580109126983
123,3538.841145833334
124,2411.9698660714284
125,2792.533643964566
126,2362.2916666666665
127,1802.9911375516842
128,2345.5915178571427
129,3021.2220982142862
130,3850.083395337301
131,1816.2038070436508
132,2731.9605654761913
133,2581.312658695471
134,3176.14944083694
135,2056.1723541215733
136,2931.5863715277774
137,2849.051339285714
138,3047.711953844766
139,2117.046811440194
140,3683.659784226191
141,2664.9128844246034
142,1989.765226093351
143,2659.689050099206
144,2585.451388888889
145,2466.7283928795887
146,3040.6315104166665
147,2529.3691659902597
148,2417.9194568452376
149,2303.153712606838
150,2866.981503739317
151,3449.369969223484
152,3191.316964285714
153,3123.0115327380954
154,2074.720982142857
155,3114.415922619048
156,2278.3417038690477
157,3107.6171875
158,2844.156436011905
159,2985.5561755952385
160,3316.240792627511
161,2228.186383928572
162,2187.9166666666665
163,2700.826202876984
164,3304.110863095239
165,2439.633315457064
166,2128.125
167,1997.1375868055552
168,2664.4921875000005
169,2217.2824723020026
170,1792.734375
171,2717.591145833333
172,2239.1145833333335
173,2940.279947916667
174,2406.187009477451
175,2872.0030381944443
176,2687.2581845238096
177,3049.934895833333
178,2098.723958333333
179,2803.718377976191
180,2182.4279735021923
181,3447.9165844314352
182,2372.1825765380454
183,2831.390438988095
184,3163.411094114219
185,2150.78125
186,2206.25
187,2064.301215277778
188,2840.763156114718
189,2073.971354166667
190,2967.516825239712
191,2227.610677083333
192,2495.828252693487
193,4141.5873015873
194,2627.235553075396
195,2573.753067678848
196,3486.1542038690477
197,2191.141239402958
198,2644.7460091991343
199,3242.186879960318
200,2262.6248132236
201,2342.317708333333
202,1981.5355282738094
203,2355.282738095238
204,1806.26953125
205,2853.1138392857147
206,2863.3203125
207,2010.2325148809523
208,4014.0252976190477
209,2192.0703125
210,2855.7961309523807
211,2158.353794642858
212,2339.019097222222
213,3113.917410714286
214,1992.0411706349212
215,2593.1231398809523
216,2634.4921875
217,2676.418340773809
218,3003.926711309524
219,1959.4010416666667
220,2929.7656249999995
221,1543.90625
222,2560.123810651155
223,2189.2506820436506
224,1963.9183407738096
225,2210.3732638888887
226,2043.302866838023
227,2413.0152529761904
228,3204.2922247023807
229,3443.8062263257575
230,1993.4449404761904
231,2810.31016292735
232,3233.1901041666665
233,2318.997395833333
234,2866.8601190476197
235,2215.367063492063
236,2337.890625
237,2304.680989583333
238,2188.741835421523
239,3571.651785714286
240,2373.257068452381
241,2346.3040554217023
242,3086.3002232142853
243,3502.7343750000005
244,2081.9605654761904
245,2860.633680555555
246,3449.5851934523807
247,1772.7306547619046
248,3033.581969246032
249,3312.3065081223776
250,2681.8229166666665
251,1901.2435741341994
252,3924.1276041666665
253,3310.167410714286
254,2868.407252469752
255,2386.9993179563494
256,2341.644345238095
257,2014.1337927034158
258,2256.087239583333
259,2420.390625
260,2251.145833333333
261,2074.23828125
